>|> 20240724 19:46:41.095 -|- INFO -|- AlignSettings -|- 0x150b29f16740|| -|- Using 32 threads for alignments, 8 threads for sorting, and 6G bytes RAM for sorting.
>|> 20240724 19:46:41.101 -|- INFO -|- CheckPositionalArgs -|- 0x150b29f16740|| -|- READ input file: ./01_isoseq/done/04_cluster/merged.clustered.hq.bam
>|> 20240724 19:46:41.101 -|- INFO -|- CheckPositionalArgs -|- 0x150b29f16740|| -|- REF  input file: /project/sheynkman/external_data/GENCODE_M35/GRCm39.primary_assembly.genome.fa
>|> 20240724 19:46:41.108 -|- WARN -|- operator() -|- 0x150b29f16740|| -|- Input is aligned reads. Only primary alignments will be respected to allow idempotence!
>|> 20240724 19:46:41.110 -|- INFO -|- Index -|- 0x150b29f16740|| -|- Start reading/building index
>|> 20240724 19:48:48.849 -|- INFO -|- Index -|- 0x150b29f16740|| -|- Finished reading/building index
>|> 20240724 20:08:27.709 -|- INFO -|- operator() -|- 0x150b12dea700|| -|- Merged sorted output from 8 files and 8 in-memory blocks
>|> 20240724 20:08:27.711 -|- INFO -|- Close -|- 0x150b29f16740|| -|- Generating BAI
>|> 20240724 20:08:30.500 -|- INFO -|- Runner -|- 0x150b29f16740|| -|- Mapped Reads: 979859
>|> 20240724 20:08:30.500 -|- INFO -|- Runner -|- 0x150b29f16740|| -|- Alignments: 993423
>|> 20240724 20:08:30.500 -|- INFO -|- Runner -|- 0x150b29f16740|| -|- Mapped Bases: 1661210196
>|> 20240724 20:08:30.500 -|- INFO -|- Runner -|- 0x150b29f16740|| -|- Mean Gap-Compressed Sequence Identity: 84.9461%
>|> 20240724 20:08:30.500 -|- INFO -|- Runner -|- 0x150b29f16740|| -|- Max Mapped Read Length: 10380
>|> 20240724 20:08:30.500 -|- INFO -|- Runner -|- 0x150b29f16740|| -|- Mean Mapped Read Length: 1672.21
>|> 20240724 20:08:30.500 -|- INFO -|- Runner -|- 0x150b29f16740|| -|- Index Build/Read Time: 2m 11s 
>|> 20240724 20:08:30.500 -|- INFO -|- Runner -|- 0x150b29f16740|| -|- Alignment Time: 19m 13s 
>|> 20240724 20:08:30.500 -|- INFO -|- Runner -|- 0x150b29f16740|| -|- Sort Merge Time: 22s 141ms 
>|> 20240724 20:08:30.500 -|- INFO -|- Runner -|- 0x150b29f16740|| -|- BAI Generation Time: 2s 788ms 
>|> 20240724 20:08:30.500 -|- INFO -|- Runner -|- 0x150b29f16740|| -|- Run Time: 21m 49s 
>|> 20240724 20:08:30.500 -|- INFO -|- Runner -|- 0x150b29f16740|| -|- CPU Time: 3h 3m 
>|> 20240724 20:08:30.500 -|- INFO -|- Runner -|- 0x150b29f16740|| -|- Peak RSS: 24.593 GB
>|> 20240724 20:08:31.994 -|- WARN -|- Run -|- 0x14a331682940|| -|- Transcripts do not contain quality values, will not output ./01_isoseq/done/06_collapse/merged2.collapsed.fastq!
