"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"isoform"	"associated_gene"	"associated_transcript"
-4.67341521957959	1.35440599367748	44.6237682488475	1.35413363014658e-05	0.0272113943520394	"PB.66.12"	"ENSMUSG00000025937.7"	"ENSMUST00000027071.7"
-4.43821270356345	1.50203398425237	46.6585707833296	1.48041191772286e-05	0.0272113943520394	"PB.4278.8"	"ENSMUSG00000027776.13"	"ENSMUST00000107816.5"
-4.5087807812207	1.55460885947283	37.7599913697962	4.20020915063668e-05	0.0363010440874461	"PB.22520.37"	"ENSMUSG00000023025.17"	"ENSMUST00000100206.4"
-3.94387616969403	0.759918429474656	31.2724524311543	8.08824932283616e-05	0.0471366559765437	"PB.22520.39"	"ENSMUSG00000023025.17"	"ENSMUST00000100206.4"
-3.55053212492655	0.751537607283841	31.3407293301335	9.94738271646638e-05	0.0500836105616657	"PB.4025.437"	"ENSMUSG00000037400.18"	"novel"
-3.63415393737655	3.09859967677088	33.2882206204036	0.000117571472701303	0.0539982522685185	"PB.12387.1"	"ENSMUSG00000031604.11"	"ENSMUST00000034015.11"
-2.12623976901608	2.17295669646539	32.8922890341795	0.000123063565435397	0.0553155148965598	"PB.6505.108"	"novelGene_ENSMUSG00000037443.14_AS"	"novel"
-1.23732673217194	6.45557604757221	32.1888544219916	0.000133555517851971	0.0574847231656311	"PB.1730.64"	"ENSMUSG00000016494.10"	"ENSMUST00000110815.9"
-3.61811461592565	1.09945436560356	28.8049057216783	0.000169709163118084	0.0675173863092385	"PB.20576.16"	"ENSMUSG00000021738.6"	"ENSMUST00000022257.4"
-2.30676167767405	2.09591986156626	30.3520754896608	0.000173596071567648	0.0675173863092385	"PB.10363.2"	"ENSMUSG00000057667.8"	"ENSMUST00000077408.8"
-3.1645281262794	3.20655099656653	29.9662010618898	0.000182030992508588	0.069503543317029	"PB.10624.1"	"novelGene_94640"	"novel"
-2.90632808903767	3.57702565928006	29.4025381841557	0.00019619448768393	0.0713257347480229	"PB.1339.1"	"novelGene_13191"	"novel"
-3.25936746085257	0.541841269589957	25.9067487101845	0.00023421851581466	0.0766542155513426	"PB.7042.46"	"ENSMUSG00000039899.6"	"ENSMUST00000035799.6"
-2.90710700255487	0.532427906741623	25.6137217014463	0.000278965906912853	0.0867140773138099	"PB.12166.1"	"novelGene_106035"	"novel"
-2.8587393257539	0.689423912574677	25.9207463339692	0.000286435195769185	0.0873061852718099	"PB.16551.14"	"ENSMUSG00000020330.17"	"ENSMUST00000020579.9"
-2.72012576987281	1.42539965274315	26.7048641156023	0.000293644868899234	0.0885130845751654	"PB.27290.19"	"ENSMUSG00000031278.13"	"ENSMUST00000112907.8"
-3.59030954774115	0.497087748198813	23.5361258258168	0.00029868297080284	0.088891715832209	"PB.16997.659"	"ENSMUSG00000005204.13"	"ENSMUST00000005336.9"
