logFC	logCPM	F	PValue	FDR
PB.21599.4	2.63004287973676	4.73842234411042	99.6481882322661	6.42359483774151e-07	0.0231530564797417
PB.9626.46	2.64552176477765	3.56827522436814	94.3273753112522	8.51806600211328e-07	0.0231530564797417
PB.24052.86	8.8225522311943	2.21930859436267	129.790568299101	9.78036433056297e-07	0.0231530564797417
PB.20180.20	2.30231149993952	4.4144621928187	76.9739464178443	2.34607035956503e-06	0.0272113943520394
PB.17614.91	5.36666219457587	1.52498975999658	55.966944990293	2.54037633142149e-06	0.0272113943520394
PB.2313.1	2.06132585001886	7.64787554922956	70.1189859702437	3.70894547101132e-06	0.0272113943520394
PB.7848.20	2.60658415263995	3.66296351420568	68.9769889150557	4.03250655468456e-06	0.0272113943520394
PB.27490.85	2.80299529491415	2.60365449048707	67.3176022234228	4.62750882272923e-06	0.0272113943520394
PB.11107.2	2.24224790427714	4.12319808175806	66.1691706527594	4.92568859596666e-06	0.0272113943520394
PB.14449.4	2.69432979806191	2.64570229368163	65.3562272660492	5.32077337966986e-06	0.0272113943520394
PB.24286.368	2.40980736340336	3.53094485471479	64.3280689978578	5.65858661244547e-06	0.0272113943520394
PB.5007.20	2.22196211580163	4.50489473852269	62.9567120402633	6.26391077028668e-06	0.0272113943520394
PB.12814.3	2.31912053283722	2.94486262223868	62.3668739467854	6.59581002580427e-06	0.0272113943520394
PB.18006.1	3.03430712033605	2.88349763728279	61.4454462813392	7.16923571536705e-06	0.0272113943520394
PB.18696.17	2.77179076285922	4.22751113847157	60.5402061801432	7.56884990505454e-06	0.0272113943520394
PB.16163.1	2.20379724123545	5.44793845991555	60.389448351805	7.6487315031743e-06	0.0272113943520394
PB.6434.8	1.95560449564365	5.87579213650225	60.0085600241941	7.88350692761193e-06	0.0272113943520394
PB.15572.22	2.12054432321306	3.79033813500679	59.7762304218826	8.04236415737552e-06	0.0272113943520394
PB.25369.4	2.84138020130549	2.29443446865897	58.7141381712279	9.00373852468873e-06	0.0272113943520394
PB.7990.76	2.9424674338991	1.88806691021049	58.4240661722444	9.20145932785121e-06	0.0272113943520394
PB.4108.7	2.6149876277941	4.26704427743315	57.2463680370348	9.88354296990364e-06	0.0272113943520394
PB.17009.7	2.57696572110033	2.03402777129156	57.5209092604264	9.93631510526791e-06	0.0272113943520394
PB.22386.1	2.15127405102775	4.2037215508249	56.9052271646233	1.01643140577031e-05	0.0272113943520394
PB.8242.2	1.92761540008367	3.84706096397303	56.4671798284777	1.05468836282618e-05	0.0272113943520394
PB.27228.6	2.16653047930284	4.62685070202809	56.4135464191459	1.05881789225145e-05	0.0272113943520394
PB.25754.219	2.34540201295272	4.2382675773238	55.753291190974	1.12015732397936e-05	0.0272113943520394
PB.11626.7	2.88247728856878	2.84073168841523	55.5912734890258	1.15240679919613e-05	0.0272113943520394
PB.4491.18	2.69449981378501	4.91863176914027	55.3046532180215	1.16333701537699e-05	0.0272113943520394
PB.16249.6	2.13862775105149	3.951355403582	54.8005463319944	1.21553247599008e-05	0.0272113943520394
PB.23792.7	2.03331716719247	4.28862842276679	54.7847904068563	1.21661864562886e-05	0.0272113943520394
PB.16163.2	3.50185663673246	1.20462754362409	51.4663551572641	1.23884829885019e-05	0.0272113943520394
PB.24122.25	2.46217289523005	3.37844058484816	54.2964845126413	1.27307649919937e-05	0.0272113943520394
PB.11890.2	2.19124799849931	4.24983003303672	53.7930297227774	1.32632675653176e-05	0.0272113943520394
PB.66.12	-4.67341521957959	1.35440599367748	44.6237682488475	1.35413363014658e-05	0.0272113943520394
PB.3791.1	2.38413993757468	3.45326186537363	53.2299928588743	1.39674150587459e-05	0.0272113943520394
PB.14219.14	2.30938006793733	3.58713663286857	53.1975965166966	1.39968169352683e-05	0.0272113943520394
PB.15597.4	2.05100234247788	5.38792726377364	53.0051677959676	1.42080400506837e-05	0.0272113943520394
PB.4278.8	-4.43821270356345	1.50203398425237	46.6585707833296	1.48041191772286e-05	0.0272113943520394
PB.25897.1	2.14659949622111	3.6207463354313	52.4566135141673	1.49431050807465e-05	0.0272113943520394
PB.14007.1	2.05911407715442	5.08952326089445	51.9466311623866	1.56194953195131e-05	0.0274048008739417
PB.10343.2	2.22949872709367	4.18135315554012	51.8120504625461	1.58210737384589e-05	0.0274048008739417
PB.26432.9	2.13321536212285	3.1172337257283	51.503944566053	1.63143485351118e-05	0.0275863980622644
PB.6570.21	3.58418938645571	0.81613220009356	44.7890197889245	1.7528775713693e-05	0.0279647560038992
PB.12814.5	2.31003612050892	2.32610420443536	50.740159367117	1.77094748459081e-05	0.0279647560038992
PB.4457.2	2.5900832920567	2.82182428554301	50.6748862023327	1.77193993181468e-05	0.0279647560038992
PB.18006.9	2.64225203768757	3.23073602045162	49.9703637133438	1.88242402991889e-05	0.0280679800869668
PB.24501.32	2.35562688573646	3.04438419122212	49.9120636606511	1.89193358167679e-05	0.0280679800869668
PB.17771.3	1.93812620889323	4.99420777234701	49.8287202588263	1.89704592316761e-05	0.0280679800869668
PB.10619.6	1.90745005853018	4.4523276914763	49.1637933198746	2.01976940808357e-05	0.0292201034059629
PB.25358.3	1.89720710166007	7.11183359531894	48.580685426532	2.13372527223765e-05	0.0292201034059629
PB.12610.65	2.33079685123591	2.81706868759024	48.6517027345473	2.13491732103972e-05	0.0292201034059629
PB.20190.18	2.47525251162557	2.65834255985623	48.6716501710978	2.13949137147815e-05	0.0292201034059629
PB.23125.11	2.31472888287223	3.9951517877745	48.2257450825415	2.21001285085473e-05	0.0296137552178966
PB.2975.2	1.98338787233387	5.6956929473002	47.6692515576147	2.32932738855812e-05	0.0306345373718535
PB.11890.13	2.32850938044402	2.91924518336906	47.5415768421717	2.37248614183721e-05	0.0306348351467522
PB.6627.31	1.82422234355066	4.46489962477846	47.2453117069594	2.42811108210446e-05	0.030785303743622
PB.27490.186	2.32674897607451	3.15912331441624	47.1044241723284	2.47083500666927e-05	0.030785303743622
PB.12094.2	2.71816189531854	1.6844373084528	46.9654868272804	2.55103540759615e-05	0.0312365488986329
PB.24286.374	2.64529012561123	2.50686120470033	46.3354918763597	2.69876658600593e-05	0.0324853735883991
PB.799.1	2.63811560468104	2.00483021226351	45.9867193587668	2.82061431624865e-05	0.0330929837351322
PB.14341.167	2.31069185731469	2.84416553555469	45.691405048541	2.84901740371331e-05	0.0330929837351322
PB.16160.1	2.36512075076971	5.50134555368187	45.4896244192266	2.88903672478942e-05	0.0330929837351322
PB.15080.3	2.98714622418009	1.74801413274806	45.249449800772	2.99652452135814e-05	0.0336410912679252
PB.585.3	2.0439774728227	2.56229486982755	44.9806364926843	3.06364015802376e-05	0.0336410912679252
PB.27490.38	2.90508082395666	1.37055698088112	44.2222332792317	3.2016599131959e-05	0.0336410912679252
PB.24123.3	2.30591231010753	3.90739133917645	44.3501227460205	3.24753206042415e-05	0.0336410912679252
PB.7077.3	2.18249363688417	2.78830520947862	44.203640534204	3.31240788527004e-05	0.0336410912679252
PB.13691.433	2.84855796258954	1.75702097801564	44.2808456889412	3.33137663277273e-05	0.0336410912679252
PB.7638.3	1.98372656748242	3.63537230640273	44.0801475634843	3.3393056796544e-05	0.0336410912679252
PB.27490.127	2.7734425741824	2.29635460340621	44.1671162652037	3.3802832147568e-05	0.0336410912679252
PB.6261.4	2.0078958114954	3.36898668188297	43.9104148051276	3.40063338846714e-05	0.0336410912679252
PB.173.2	2.5431966826937	2.40843912618829	43.9207356422033	3.44607729220341e-05	0.0336410912679252
PB.19294.25	2.14973681610263	3.42216061086495	43.7284766174947	3.46599479797425e-05	0.0336410912679252
PB.23966.45	2.61392635772898	1.97945301635605	43.8426692276154	3.5053165403997e-05	0.0336410912679252
PB.3426.2	2.45517441879401	2.73812161616005	43.0687597769133	3.73910039712306e-05	0.0354039710800404
PB.27490.71	2.41114161789752	3.69161181588114	42.8770448746482	3.78870696867468e-05	0.0354039710800404
PB.15838.59	1.68029944478654	5.37222022765205	42.5199348180433	3.92802371936153e-05	0.0362291320162775
PB.27490.450	2.69317576495813	2.36411157933343	42.5690464174311	3.98291111402951e-05	0.0362644056932387
PB.25184.4	2.01118513742869	3.79793553311493	42.2349203284466	4.05303942931705e-05	0.0363010440874461
PB.2978.10	2.33832962735092	3.47366479198865	42.1089762920183	4.11341391963039e-05	0.0363010440874461
PB.8620.61	2.32042641566515	3.65696598821332	41.9355885920323	4.18816329588002e-05	0.0363010440874461
PB.22520.37	-4.5087807812207	1.55460885947283	37.7599913697962	4.20020915063668e-05	0.0363010440874461
PB.16946.1	1.71016958844534	5.64938508025173	41.7205290078053	4.27943364953537e-05	0.0363010440874461
PB.17234.20	1.71020124323772	5.9073310784986	41.6896868807696	4.29362241561479e-05	0.0363010440874461
PB.11895.19	2.31190855856947	2.36180476359671	41.5230310276285	4.42842365934235e-05	0.036525191245699
PB.14270.15	1.88887947071103	4.00258382639025	41.2933100096179	4.48506506400499e-05	0.036525191245699
PB.8811.16	2.4498519060301	3.26410869646322	41.1996137605442	4.54435675088415e-05	0.036525191245699
PB.11251.23	2.65301801157262	1.83590423705211	41.2290339618879	4.62499852105234e-05	0.036525191245699
PB.8242.1	2.62093565462603	1.95603808173482	41.188489507231	4.64516819041211e-05	0.036525191245699
PB.5154.30	2.13549513561155	3.96164595213817	40.9455112903941	4.65987450957884e-05	0.036525191245699
PB.9434.47	2.12515075736043	3.37199536048679	40.8991410292984	4.68903064452272e-05	0.036525191245699
PB.14007.7	2.92262215025049	1.84390623869512	40.9786553725249	4.73157548628439e-05	0.036525191245699
PB.16163.14	3.28442791561451	0.820918483271426	37.4467690904607	4.98192406069119e-05	0.0380442220286266
PB.3700.1	2.1317375019239	3.30668687655895	40.2104234827152	5.06081234735882e-05	0.0382355140528804
PB.25822.1	1.8772630030746	4.20490744938106	39.8311105403665	5.27072519605806e-05	0.0394022771261944
PB.9626.18	2.60042370384038	2.50975123297508	39.637475004126	5.45895766469117e-05	0.0401279523198555
PB.14747.56	2.45174906072969	2.20079190999645	39.6375542463749	5.48080284857008e-05	0.0401279523198555
PB.24502.10	2.26121516878844	3.47554485900337	39.200868559124	5.66759578893472e-05	0.0406796149535916
PB.12437.11	2.27158891644555	3.99459157276979	39.0436897786164	5.76386598020168e-05	0.0406796149535916
PB.24391.21	2.69589603211278	1.66202602131428	38.9628792390879	5.92556086913787e-05	0.0406796149535916
PB.27125.58	2.77239251025712	1.67478805878161	38.8941689753731	5.95706732426882e-05	0.0406796149535916
PB.8992.56	2.35956118696507	3.7288827519443	38.7106395814171	5.99091991033646e-05	0.0406796149535916
PB.13754.31	1.91757884356934	4.68197420206085	38.693798513508	5.99501468417451e-05	0.0406796149535916
